stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PB311,,PB311-Parada 3 / (M) Cementerios,-33.413434,-70.643698,,0
PB312,,PB312-Avenida Recoleta / Esq. El Salto Chico,-33.417175,-70.643871,,0
PB313,,PB313-Avenida Recoleta / Esq. Urrutia,-33.418868,-70.644057,,0
PB314,,PB314-Parada 1 / (M) Cerro Blanco,-33.421629,-70.644793,,0
PB315,,PB315-Avenida Recoleta / Esq. Olivos,-33.424849,-70.645768,,0
PB316,,PB316-Parada / Clínica Dávila,-33.427079,-70.646410,,0
PB317,,PB317-Parada / (M) Patronato,-33.429307,-70.647074,,0
PB318,,PB318-Parada 3 / Recoleta Franciscana,-33.431566,-70.647955,,0
PA88,,PA88-Parada 7 / Mercado Central,-33.433646,-70.648986,,0
PA195,,PA195-Parada 1 / Monjitas - San Antonio,-33.436677,-70.648660,,0
PA763,,PA763-Parada 2 / Teatro Municipal,-33.438820,-70.648311,,0
PA91,,PA91-Parada 11 / (M) Santa Lucía,-33.441959,-70.647883,,0
PA92,,PA92-Parada 1 / Alonso De Ovalle - San Francisco,-33.445206,-70.647131,,0
PA93,,PA93-Parada 3 / Santa Isabel - San Francisco,-33.450563,-70.646923,,0
PA94,,PA94-Parada 3 / Diez De Julio - San Francisco,-33.453260,-70.646604,,0
PA95,,PA95-Parada 9 / (M) Matta,-33.457656,-70.645653,,0
PA96,,PA96-Parada 3 / Hospital Sn. Borja Arriarán,-33.460692,-70.645048,,0
PA97,,PA97-Parada 3 / Victoria - San Francisco,-33.464208,-70.644645,,0
PA98,,PA98-Parada 3 / Ñuble - San Francisco,-33.469087,-70.644059,,0
PA99,,PA99-Parada 3 / Matadero Franklin,-33.472257,-70.643884,,0
PA819,,PA819-San Francisco / Esq. Placer,-33.475154,-70.643818,,0
PH138,,PH138-Parada 1 / (M) Bío Bío,-33.478306,-70.641969,,0
PH139,,PH139-Parada 3 / Paradero 3 Santa Rosa,-33.480602,-70.641813,,0
PH140,,PH140-Parada 3 / Hospital Trudeau,-33.483882,-70.641432,,0
PH141,,PH141-Parada 3 / Paradero 6 Santa Rosa,-33.487740,-70.640904,,0
PH142,,PH142-Parada 3 / Paradero 8 Santa Rosa,-33.491788,-70.640375,,0
PH143,,PH143-Parada 3 / Paradero 9 Santa Rosa,-33.494904,-70.639930,,0
PH144,,PH144-Parada 3 / Paradero 9 1/2 Santa Rosa,-33.497477,-70.639634,,0
PH145,,PH145-Parada 3 / Paradero 11 Santa Rosa,-33.502212,-70.639152,,0
PH146,,PH146-Parada 7 / Departamental - Santa Rosa,-33.506595,-70.638710,,0
