Comuna;TOTAL
SANTIAGO;0
SANTIAGO;41
SANTIAGO;103
SANTIAGO;124
SANTIAGO;143
SANTIAGO;212
SANTIAGO;590
SANTIAGO;38
SANTIAGO;14
SANTIAGO;14
SANTIAGO;80
SANTIAGO;0
SANTIAGO;63
SANTIAGO;127
SANTIAGO;13
SANTIAGO;73
SANTIAGO;25
SANTIAGO;13
SANTIAGO;111
SANTIAGO;24
SANTIAGO;71
SANTIAGO;45
SANTIAGO;86
SANTIAGO;114
SANTIAGO;4
SANTIAGO;74
SANTIAGO;147
SANTIAGO;123
SANTIAGO;0
SANTIAGO;3
SANTIAGO;68
SANTIAGO;24
SANTIAGO;0
SANTIAGO;324
SANTIAGO;195
SANTIAGO;16
SANTIAGO;287
SANTIAGO;132
SANTIAGO;52
SANTIAGO;229
SANTIAGO;61
SANTIAGO;577
SANTIAGO;153
SANTIAGO;21
SANTIAGO;148
SANTIAGO;513
SANTIAGO;0
SANTIAGO;84
SANTIAGO;31
SANTIAGO;195
SANTIAGO;310
SANTIAGO;34
SANTIAGO;28
SANTIAGO;74
SANTIAGO;447
SANTIAGO;1
SANTIAGO;73
SANTIAGO;3
SANTIAGO;38
SANTIAGO;59
SANTIAGO;92
SANTIAGO;44
SANTIAGO;126
SANTIAGO;603
SANTIAGO;48
SANTIAGO;228
SANTIAGO;191
SANTIAGO;437
SANTIAGO;1
SANTIAGO;1
SANTIAGO;142
SANTIAGO;58
SANTIAGO;52
SANTIAGO;34
SANTIAGO;3
SANTIAGO;66
SANTIAGO;18
SANTIAGO;29
SANTIAGO;210
SANTIAGO;1
SANTIAGO;31
SANTIAGO;50
SANTIAGO;4
SANTIAGO;47
SANTIAGO;183
SANTIAGO;82
SANTIAGO;25
SANTIAGO;21
SANTIAGO;0
SANTIAGO;63
SANTIAGO;302
SANTIAGO;128
SANTIAGO;249
SANTIAGO;33
SANTIAGO;14
SANTIAGO;3
SANTIAGO;1
SANTIAGO;345
SANTIAGO;3
SANTIAGO;2
SANTIAGO;261
SANTIAGO;198
SANTIAGO;17
SANTIAGO;70
SANTIAGO;161
SANTIAGO;7
SANTIAGO;168
SANTIAGO;210
SANTIAGO;136
SANTIAGO;202
SANTIAGO;123
SANTIAGO;0
SANTIAGO;4
SANTIAGO;221
SANTIAGO;344
SANTIAGO;0
SANTIAGO;169
SANTIAGO;288
SANTIAGO;35
SANTIAGO;48
SANTIAGO;12
SANTIAGO;35
SANTIAGO;11
SANTIAGO;44
SANTIAGO;77
SANTIAGO;2
SANTIAGO;7
SANTIAGO;124
SANTIAGO;229
SANTIAGO;192
SANTIAGO;322
SANTIAGO;169
SANTIAGO;120
SANTIAGO;4
SANTIAGO;0
SANTIAGO;0
SANTIAGO;0
SANTIAGO;52
SANTIAGO;426
SANTIAGO;0
SANTIAGO;0
SANTIAGO;1
SANTIAGO;0
SANTIAGO;37
SANTIAGO;1
SANTIAGO;76
SANTIAGO;3
SANTIAGO;13
SANTIAGO;95
SANTIAGO;113
SANTIAGO;149
SANTIAGO;17
SANTIAGO;17
SANTIAGO;5
SANTIAGO;70
SANTIAGO;159
SANTIAGO;5
SANTIAGO;5
SANTIAGO;4
SANTIAGO;40
SANTIAGO;103
SANTIAGO;119
SANTIAGO;2
SANTIAGO;33
SANTIAGO;262
SANTIAGO;84
SANTIAGO;56
SANTIAGO;24
SANTIAGO;53
SANTIAGO;7
SANTIAGO;1
SANTIAGO;120
SANTIAGO;139
SANTIAGO;185
SANTIAGO;37
SANTIAGO;255
SANTIAGO;194
SANTIAGO;0
SANTIAGO;0
SANTIAGO;6
SANTIAGO;40
SANTIAGO;55
SANTIAGO;109
SANTIAGO;11
SANTIAGO;52
SANTIAGO;12
SANTIAGO;94
SANTIAGO;65
SANTIAGO;4
SANTIAGO;90
